cost;time;% error;2755
3857;197;40%;2755
3633;173;31%;2755
3448;126;25%;2755
3611;210;31%;2755
3757;196;36%;2755
3587;230;30%;2755
3601;160;30%;2755
3516;220;27%;2755
3675;220;33%;2755
3499;226;27%;2755
path of best solution
141->134->131->113->164->127->126->125->119->120->121->122->123->162->102->103->117->118->124->129->128->130->135->138->139->140->6->7->8->9->10->76->74->75->11->12->18->19->20->29->22->23->26->27->28->30->31->33->34->35->156->40->39->38->37->170->168->73->77->2->1->0->81->80->79->82->78->72->71->60->50->51->52->53->43->55->54->58->59->61->68->67->167->70->87->85->86->83->84->69->66->63->64->56->57->62->65->153->154->88->89->90->91->94->96->97->99->98->95->92->93->108->166->107->106->105->165->163->101->100->104->114->110->109->115->116->136->137->147->148->149->161->160->151->152->142->143->15->159->16->21->32->158->36->157->155->41->42->45->44->46->47->48->49->3->4->5->133->169->111->112->132->14->13->17->24->25->150->146->145->144->141
